,station_id,year,month,day,rides,day_type,station_name,location,latitude,longitude
59,40010,2019,3,1,1780,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
60,40010,2019,3,2,618,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
61,40010,2019,3,3,492,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
62,40010,2019,3,4,1704,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
63,40010,2019,3,5,1838,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
64,40010,2019,3,6,1876,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
65,40010,2019,3,7,1905,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
66,40010,2019,3,8,1712,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
67,40010,2019,3,9,609,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
68,40010,2019,3,10,492,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
69,40010,2019,3,11,1826,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
70,40010,2019,3,12,2045,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
71,40010,2019,3,13,1922,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
72,40010,2019,3,14,1948,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
73,40010,2019,3,15,1760,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
74,40010,2019,3,16,896,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
75,40010,2019,3,17,567,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
76,40010,2019,3,18,1834,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
77,40010,2019,3,19,1956,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
78,40010,2019,3,20,1868,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
79,40010,2019,3,21,1900,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
80,40010,2019,3,22,1804,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
81,40010,2019,3,23,713,Saturday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
82,40010,2019,3,24,509,Sunday/Holiday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
83,40010,2019,3,25,1681,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
84,40010,2019,3,26,1669,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
85,40010,2019,3,27,1726,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
86,40010,2019,3,28,1778,Weekday,Austin-Forest Park,"41.870851, -87.776812",41.870851, -87.776812
